portfolio_id,client_id,portfolio_name,start_date,status,intial_investment
1109,6963,Emergency,2025-02-28,Closed,152202
111,1917,Retirement Plan,2024-07-30,Inactive,27265
1110,5317,Emergency,2024-09-30,Inactive,155020
1111,3751,Retirement Plan,2024-08-13,Inactive,35533
1112,5598,Education Fund,2024-08-07,Closed,73119
1113,3474,Retirement Plan,2024-08-05,Inactive,164960
1114,2619,Emergency,2024-10-14,Inactive,153354
1115,2429,Education Fund,2024-12-15,Inactive,160089
1116,3818,Emergency,2024-06-08,Closed,46398
1117,6695,Emergency,2024-10-26,Closed,1786
1118,5598,Retirement Plan,2024-08-04,Closed,61830
1119,6647,Education Fund,2025-01-13,Active,65827
112,6289,Emergency,2024-10-04,Closed,26380
1120,3860,High-Yield,2024-06-01,Closed,112629
1121,6100,Growth Fund,2024-08-21,Inactive,41234
1122,4260,Education Fund,2024-05-28,Active,3587
1123,4804,Growth Fund,2024-10-14,Inactive,116078
1124,3420,Education Fund,2024-10-09,Active,195459
1125,1721,Education Fund,2024-07-10,Closed,108603
1126,5704,Growth Fund,2024-10-31,Active,21075
1127,2077,Emergency,2024-08-18,Closed,57489
1128,6444,Retirement Plan,2024-04-27,Closed,61307
1129,4621,Emergency,2024-09-19,Closed,187527
113,2148,High-Yield,2025-03-17,Closed,137387
1130,1471,Emergency,2025-04-05,Closed,169149
1131,1321,Emergency,2024-08-17,Inactive,102095
1132,3566,Growth Fund,2024-10-24,Active,187808
1133,5922,Education Fund,2024-08-10,Closed,54354
1134,5880,Education Fund,2025-02-20,Closed,130550
1135,5827,Education Fund,2024-10-29,Inactive,125541
1136,6376,Growth Fund,2025-03-20,Closed,126267
1137,6003,Retirement Plan,2025-02-07,Closed,194977
1138,1740,Retirement Plan,2025-01-30,Inactive,74256
1139,1854,High-Yield,2024-12-26,Active,87305
114,1786,Retirement Plan,2024-06-15,Closed,131070
1140,2368,Emergency,2024-08-12,Closed,33969
1141,2229,Education Fund,2024-04-22,Active,42836
1142,989,Emergency,2024-10-10,Closed,113734
1143,3670,Education Fund,2025-01-04,Active,127681
1144,5667,Education Fund,2025-01-08,Inactive,91428
1145,243,Growth Fund,2024-06-28,Closed,25733
1146,5950,Retirement Plan,2024-06-17,Inactive,11289
1147,5817,Growth Fund,2024-12-04,Inactive,71748
1148,6131,Emergency,2024-10-22,Inactive,164024
1149,5005,High-Yield,2025-02-22,Active,176475
115,1792,Retirement Plan,2024-08-03,Closed,127592
1150,6896,Retirement Plan,2025-04-04,Active,129190
1151,4214,Emergency,2025-03-25,Closed,194542
1152,3339,Emergency,2024-08-03,Active,99410
1153,3500,Education Fund,2024-05-17,Inactive,123689
1154,3471,Growth Fund,2025-04-02,Inactive,67659
1155,5296,Emergency,2025-02-16,Active,150487
1156,6228,Emergency,2024-09-24,Inactive,177417
1157,1062,High-Yield,2025-02-02,Active,71382
1158,5991,Emergency,2024-07-06,Closed,53589
1159,3070,Growth Fund,2024-12-14,Inactive,162911
116,4804,Retirement Plan,2024-07-25,Active,17517
1160,4510,Growth Fund,2025-01-13,Active,129958
1161,6089,Emergency,2025-01-10,Inactive,34024
1162,4970,Education Fund,2025-03-05,Closed,167751
1163,5214,Emergency,2024-11-04,Closed,83164
1164,2767,Emergency,2025-03-11,Active,47972
1165,593,Education Fund,2024-06-25,Closed,2197
1166,2794,Emergency,2025-01-31,Active,36489
1167,5881,Education Fund,2024-11-16,Inactive,6385
1168,2605,Growth Fund,2024-08-05,Closed,54053
1169,2526,High-Yield,2024-11-08,Closed,154088
117,6454,Retirement Plan,2024-07-17,Inactive,140498
1170,4060,High-Yield,2024-09-28,Closed,187073
1171,1512,Emergency,2024-09-24,Closed,138581
1172,6379,Retirement Plan,2024-06-28,Active,18080
1173,4290,Retirement Plan,2024-09-13,Closed,143983
1174,5285,High-Yield,2025-02-20,Active,128065
1175,388,Education Fund,2024-12-08,Inactive,197860
1176,5939,High-Yield,2024-11-06,Closed,128978
1177,3737,Education Fund,2024-12-13,Inactive,115265
1178,5304,Emergency,2024-07-07,Closed,168120
1179,3048,Retirement Plan,2024-07-31,Closed,28820
118,1022,High-Yield,2025-04-09,Inactive,82690
1180,6113,High-Yield,2025-03-05,Active,153837
1181,1965,Emergency,2024-11-01,Active,91558
1182,2879,Education Fund,2024-04-28,Inactive,171950
1183,3729,Retirement Plan,2025-03-28,Closed,23715
1184,5073,Emergency,2024-08-11,Active,171567
1185,6,High-Yield,2024-09-01,Active,112895
1186,3526,Education Fund,2024-12-16,Closed,13606
1187,3017,Education Fund,2025-01-09,Active,82027
1188,1002,Growth Fund,2024-04-13,Closed,67837
1189,6202,Retirement Plan,2024-06-15,Inactive,173205
119,4804,High-Yield,2024-10-10,Closed,164870
1190,495,Retirement Plan,2025-03-14,Closed,139754
1191,5172,Emergency,2024-08-03,Closed,144470
1192,5706,Education Fund,2025-01-10,Active,143504
1193,3139,Retirement Plan,2024-09-28,Closed,105304
1194,3360,High-Yield,2024-10-18,Inactive,61263
1195,6836,Retirement Plan,2024-06-11,Inactive,4776
1196,3605,Education Fund,2024-10-28,Active,106693
1197,6477,High-Yield,2024-12-07,Inactive,131964
1198,2990,High-Yield,2024-07-07,Closed,167007
1199,5713,Education Fund,2024-08-25,Active,9415
12,1133,Education Fund,2024-12-12,Active,71219
120,1301,Emergency,2024-10-22,Active,72322
1200,3343,Emergency,2025-02-26,Closed,118454
1201,3978,Retirement Plan,2025-01-02,Closed,89884
1202,4070,Education Fund,2024-07-17,Closed,24276
1203,6961,Education Fund,2024-08-30,Inactive,6951
1204,1629,Emergency,2025-01-29,Closed,48074
1205,1012,Growth Fund,2024-06-01,Closed,135882
1206,5043,Education Fund,2024-04-10,Inactive,72807
1207,3570,Emergency,2024-12-06,Inactive,49255
1208,5727,Education Fund,2025-03-26,Closed,71052
1209,3180,Growth Fund,2025-04-08,Closed,114821
121,4411,Education Fund,2024-12-28,Inactive,198187
1210,3652,High-Yield,2024-11-16,Active,35072
1211,3433,Emergency,2025-02-26,Closed,84168
1212,6094,Emergency,2024-07-11,Inactive,120200
1213,873,High-Yield,2025-03-07,Closed,121199
1214,5139,Retirement Plan,2024-08-28,Closed,83405
1215,3316,Emergency,2024-07-16,Active,34173
1216,4598,Growth Fund,2024-06-30,Active,61874
1217,2294,High-Yield,2025-03-18,Active,122555
1218,6048,Education Fund,2024-11-28,Active,58922
1219,6476,Retirement Plan,2024-11-14,Inactive,18089
122,5468,Emergency,2025-02-07,Active,79122
1220,5326,Education Fund,2025-03-16,Closed,159933
1221,2676,High-Yield,2024-05-31,Active,122409
1222,658,Growth Fund,2025-01-07,Active,47056
1223,3113,Emergency,2024-06-16,Active,123154
1224,974,High-Yield,2024-09-09,Closed,194412
1225,3983,Education Fund,2024-11-21,Closed,27155
1226,5653,Growth Fund,2024-09-16,Inactive,115089
1227,6762,Growth Fund,2025-02-08,Closed,189578
1228,1702,High-Yield,2024-05-20,Closed,143044
1229,3220,Emergency,2024-05-15,Closed,74864
123,6501,Education Fund,2024-05-22,Closed,176205
1230,1640,Emergency,2024-10-16,Inactive,146927
1231,285,Emergency,2024-05-13,Active,73340
1232,4541,Emergency,2025-02-16,Inactive,142775
1233,5774,High-Yield,2024-08-30,Inactive,69471
1234,5921,Growth Fund,2025-02-07,Inactive,183105
1235,962,Education Fund,2024-05-14,Closed,61582
1236,6761,Emergency,2025-03-05,Closed,63615
1237,5285,Emergency,2025-02-17,Inactive,53092
1238,6339,Emergency,2024-10-28,Closed,111507
1239,3232,High-Yield,2024-10-18,Inactive,165370
124,6891,Growth Fund,2025-03-19,Inactive,58653
1240,4188,Emergency,2024-12-18,Inactive,56491
1241,1268,High-Yield,2025-03-31,Closed,71736
1242,1202,Education Fund,2024-09-12,Active,199637
1243,6019,Emergency,2025-04-06,Active,174849
1244,5683,Growth Fund,2025-01-10,Closed,103186
1245,3787,High-Yield,2024-10-13,Inactive,42741
1246,4959,High-Yield,2024-05-26,Inactive,45418
1247,398,Growth Fund,2025-02-25,Closed,129803
1248,6902,Emergency,2024-11-20,Active,68282
1249,2557,Retirement Plan,2024-08-15,Active,166451
125,5243,Retirement Plan,2024-08-05,Active,145933
1250,4543,Education Fund,2024-04-28,Active,104229
1251,5648,Education Fund,2025-03-06,Active,8457
1252,6057,Growth Fund,2024-09-20,Closed,101868
1253,166,Growth Fund,2024-06-28,Inactive,32994
1254,5617,Retirement Plan,2024-10-16,Inactive,101531
1255,6771,Growth Fund,2025-01-04,Inactive,94422
1256,3846,Education Fund,2024-09-17,Inactive,85377
1257,3610,Retirement Plan,2024-06-25,Active,165515
1258,299,Emergency,2024-04-19,Active,197162
1259,5704,High-Yield,2024-11-25,Active,143481
126,6166,Retirement Plan,2024-05-31,Active,82258
1260,2026,Retirement Plan,2025-03-24,Inactive,186414
1261,1818,Education Fund,2024-07-04,Inactive,141505
1262,4975,Growth Fund,2024-11-20,Closed,52656
1263,247,Education Fund,2024-05-07,Active,90922
1264,1917,Education Fund,2024-12-23,Inactive,175083
1265,6087,Education Fund,2024-12-20,Inactive,5727
1266,6083,Retirement Plan,2025-01-26,Inactive,199790
1267,1888,Retirement Plan,2024-07-28,Active,113563
1268,5367,Growth Fund,2024-10-04,Inactive,101171
1269,5292,Education Fund,2024-08-30,Closed,193779
127,4875,Growth Fund,2024-05-14,Inactive,117882
1270,6203,Growth Fund,2024-04-19,Active,59248
1271,4272,High-Yield,2024-12-17,Closed,98015
1272,1910,Retirement Plan,2024-04-15,Closed,33070
1273,1752,High-Yield,2024-11-17,Inactive,128978
1274,6503,Emergency,2024-06-09,Active,199624
1275,2561,Education Fund,2024-09-07,Inactive,32808
1276,4796,Growth Fund,2025-02-16,Closed,114521
1277,4913,Emergency,2024-08-10,Active,99632
1278,1319,High-Yield,2025-03-16,Closed,68903
1279,5495,Education Fund,2024-08-21,Active,139746
128,4565,Retirement Plan,2024-07-25,Closed,175043
1280,4660,Growth Fund,2024-04-22,Closed,128914
1281,6186,Education Fund,2024-10-05,Closed,84349
1282,1961,High-Yield,2024-08-29,Inactive,133908
1283,6677,Emergency,2024-09-18,Inactive,138706
1284,6373,Growth Fund,2024-08-21,Closed,11998
1285,1526,Emergency,2024-11-09,Inactive,53124
1286,3238,Retirement Plan,2025-02-10,Active,93942
1287,2463,Growth Fund,2025-01-14,Closed,42566
1288,2011,Emergency,2025-04-03,Active,53256
1289,2089,Retirement Plan,2024-09-20,Closed,170604
129,755,Retirement Plan,2025-03-01,Active,1168
1290,578,Emergency,2025-04-03,Inactive,79124
1291,4682,Growth Fund,2025-03-20,Active,193396
1292,6882,Emergency,2024-09-15,Active,152056
1293,3288,High-Yield,2024-04-26,Closed,3547
1294,5971,Retirement Plan,2024-10-16,Closed,159265
1295,1709,Growth Fund,2024-09-19,Inactive,88788
1296,5214,Retirement Plan,2024-06-13,Active,170845
1297,975,Retirement Plan,2025-02-18,Inactive,62231
1298,4980,Retirement Plan,2024-05-27,Active,35556
1299,6028,Retirement Plan,2024-05-17,Closed,9263
13,6765,Growth Fund,2025-01-03,Inactive,85084
130,5201,Education Fund,2024-12-25,Closed,126767
1300,4058,Retirement Plan,2024-12-23,Active,182052
1301,749,Retirement Plan,2024-05-20,Closed,156071
1302,6001,High-Yield,2024-07-06,Closed,170027
1303,3077,Retirement Plan,2024-10-25,Inactive,3596
1304,2498,Emergency,2024-07-24,Closed,117782
1305,6532,Growth Fund,2025-03-20,Active,196462
1306,3003,High-Yield,2024-11-26,Active,92907
1307,4865,Emergency,2024-11-27,Inactive,70094
1308,5257,High-Yield,2024-06-26,Closed,163270
1309,5524,Emergency,2025-01-24,Active,39962
131,2811,High-Yield,2024-07-04,Closed,89324
1310,5059,High-Yield,2025-04-03,Closed,12890
1311,5040,Education Fund,2024-11-27,Active,67585
1312,4607,Emergency,2024-04-25,Active,53548
1313,5257,Growth Fund,2024-05-02,Inactive,85574
1314,2952,Emergency,2025-02-16,Closed,158378
1315,5459,High-Yield,2024-06-29,Closed,195414
1316,4069,Retirement Plan,2024-09-13,Closed,23574
1317,4682,High-Yield,2024-12-19,Inactive,41389
1318,3783,Retirement Plan,2024-11-12,Inactive,179624
1319,3534,High-Yield,2025-03-17,Closed,30876
132,1405,Education Fund,2024-12-22,Closed,81081
1320,2760,Retirement Plan,2024-04-11,Inactive,168413
1321,6824,High-Yield,2024-07-22,Closed,70769
1322,6159,Emergency,2024-06-30,Active,72430
1323,325,Emergency,2024-10-02,Active,188177
1324,6813,Emergency,2024-11-20,Closed,86348
1325,4445,Emergency,2025-03-10,Closed,60818
1326,1161,Emergency,2024-06-27,Active,62984
1327,1526,Education Fund,2024-09-26,Active,86970
1328,6067,Growth Fund,2024-10-04,Inactive,137659
1329,3283,Emergency,2024-10-20,Inactive,12581
133,6242,Retirement Plan,2024-09-12,Closed,179003
1330,859,Emergency,2024-12-27,Inactive,106227
1331,6838,Growth Fund,2024-11-02,Active,44816
1332,5340,Emergency,2024-07-05,Active,62618
1333,5075,Retirement Plan,2024-12-22,Closed,111395
1334,917,Emergency,2024-09-03,Active,149514
1335,5490,Growth Fund,2024-05-09,Closed,89324
1336,3950,Education Fund,2024-10-27,Closed,98343
1337,3929,Growth Fund,2024-08-08,Closed,33024
1338,636,Retirement Plan,2024-10-30,Inactive,45908
1339,5186,Emergency,2024-10-26,Active,24881
134,3859,Education Fund,2024-07-07,Inactive,54322
1340,2104,Education Fund,2024-04-29,Active,170118
1341,5557,Retirement Plan,2024-10-31,Active,163162
1342,5625,High-Yield,2024-11-05,Inactive,113011
1343,2898,High-Yield,2025-03-01,Active,73081
1344,6625,High-Yield,2024-12-11,Inactive,190311
1345,2698,Emergency,2025-01-10,Inactive,57600
1346,2172,High-Yield,2024-07-17,Active,176380
1347,13,Growth Fund,2024-06-18,Closed,197195
1348,5328,Emergency,2024-08-03,Closed,43708
1349,149,Emergency,2024-09-21,Closed,118962
135,5914,Emergency,2024-11-21,Closed,25051
1350,266,Growth Fund,2025-01-13,Inactive,110196
1351,1530,Retirement Plan,2024-07-12,Closed,122495
1352,727,Education Fund,2025-02-27,Active,59898
1353,309,Retirement Plan,2024-12-10,Inactive,84750
1354,3823,Retirement Plan,2024-05-11,Inactive,133168
1355,5657,High-Yield,2025-04-05,Closed,68593
1356,4316,Education Fund,2025-03-23,Inactive,181038
1357,3296,High-Yield,2025-04-01,Active,179472
1358,2380,Education Fund,2025-02-19,Inactive,7875
1359,5474,Education Fund,2024-05-23,Closed,100201
136,5428,High-Yield,2025-02-27,Closed,2637
1360,532,High-Yield,2024-10-23,Closed,80822
1361,6736,Retirement Plan,2025-03-07,Inactive,92043
1362,4923,Growth Fund,2024-10-17,Active,46358
1363,4909,Retirement Plan,2025-03-08,Active,74831
1364,2872,Emergency,2024-12-27,Inactive,19211
1365,373,Education Fund,2024-05-24,Inactive,5140
1366,774,Growth Fund,2024-04-13,Closed,156928
1367,5436,High-Yield,2024-12-07,Active,3354
1368,2593,Education Fund,2024-05-31,Inactive,165765
1369,5976,High-Yield,2024-09-18,Active,59884
137,1576,Education Fund,2024-07-08,Closed,78534
1370,3791,High-Yield,2024-05-13,Active,199620
1371,1586,Emergency,2024-07-01,Inactive,132959
1372,6172,High-Yield,2025-02-01,Active,195921
1373,2375,Education Fund,2024-11-24,Closed,118041
1374,5845,High-Yield,2024-05-28,Closed,167783
1375,5354,Retirement Plan,2024-12-09,Active,76976
1376,6990,Growth Fund,2025-03-28,Closed,4628
1377,1625,Retirement Plan,2025-01-10,Inactive,135978
1378,6993,Retirement Plan,2024-08-04,Inactive,9937
1379,6924,High-Yield,2024-12-23,Active,117868
138,3309,Education Fund,2024-12-22,Closed,172022
1380,605,Retirement Plan,2024-04-10,Active,169648
1381,1442,Education Fund,2024-06-09,Inactive,72358
1382,5679,High-Yield,2024-08-17,Active,44121
1383,3807,Education Fund,2024-07-15,Inactive,97651
1384,3440,Growth Fund,2024-10-27,Active,152535
1385,1550,Retirement Plan,2024-12-03,Closed,67194
1386,5266,High-Yield,2024-11-23,Closed,84686
1387,1264,High-Yield,2024-07-23,Closed,176798
1388,2620,Education Fund,2024-08-02,Inactive,158322
1389,6498,Emergency,2024-04-20,Active,31044
139,5735,Retirement Plan,2024-12-25,Active,36083
1390,1900,Emergency,2024-10-27,Active,52853
1391,6406,High-Yield,2024-10-17,Active,172440
1392,316,Emergency,2025-02-14,Closed,61176
1393,1882,Growth Fund,2024-11-02,Inactive,100088
1394,125,Education Fund,2024-04-15,Active,44564
1395,4015,High-Yield,2025-03-15,Closed,101392
1396,5780,Emergency,2024-12-02,Closed,71262
1397,4488,Growth Fund,2024-08-03,Active,120022
1398,4006,Education Fund,2025-03-09,Closed,92783
1399,1557,Emergency,2024-05-29,Inactive,67300
14,2028,Growth Fund,2024-12-10,Active,155632
140,1119,Growth Fund,2024-12-27,Inactive,87001
1400,1865,Emergency,2024-04-25,Closed,142979
1401,421,High-Yield,2024-09-08,Closed,15387
1402,1087,High-Yield,2024-11-08,Active,70648
1403,5971,High-Yield,2024-08-07,Inactive,123501
1404,1089,Retirement Plan,2024-12-30,Inactive,63008
1405,5185,Emergency,2024-10-25,Active,190929
1406,2322,High-Yield,2024-05-05,Closed,194815
1407,484,High-Yield,2024-11-21,Inactive,127297
1408,5765,Growth Fund,2024-05-31,Active,159008
1409,4153,Retirement Plan,2024-11-10,Active,133144
141,2713,Growth Fund,2025-01-03,Active,157363
1410,941,Education Fund,2024-11-25,Closed,157345
1411,3113,Retirement Plan,2024-10-25,Active,169230
1412,5031,Retirement Plan,2025-01-16,Active,62248
1413,744,High-Yield,2024-10-16,Inactive,176448
1414,1580,Growth Fund,2024-10-04,Active,3894
1415,6358,Education Fund,2024-07-19,Active,190388
1416,4885,Education Fund,2024-12-04,Active,176833
1417,2469,Retirement Plan,2024-04-14,Inactive,121938
1418,6225,Retirement Plan,2024-10-04,Active,175668
1419,2519,Growth Fund,2025-01-13,Active,184799
142,4923,Retirement Plan,2025-04-02,Active,45167
1420,4699,Education Fund,2024-05-27,Inactive,127929
1421,1128,High-Yield,2024-10-27,Active,53594
1422,5321,Emergency,2024-11-23,Active,112597
1423,2429,High-Yield,2024-05-04,Inactive,18048
1424,5626,Retirement Plan,2024-11-02,Closed,117641
1425,5961,Education Fund,2025-03-30,Closed,68340
1426,4057,Education Fund,2024-12-16,Closed,189949
1427,4456,Education Fund,2024-10-23,Closed,55332
1428,4697,Education Fund,2024-10-26,Inactive,115942
1429,2692,High-Yield,2025-02-28,Closed,175523
143,2707,High-Yield,2025-03-20,Active,17298
1430,5521,Retirement Plan,2024-10-03,Closed,26159
1431,6732,Emergency,2024-07-13,Closed,127320
1432,1222,Emergency,2024-05-03,Active,14868
1433,3791,Retirement Plan,2024-05-20,Closed,113903
1434,6880,High-Yield,2024-09-29,Active,162978
1435,4794,Emergency,2024-08-29,Active,175686
1436,6758,Growth Fund,2024-08-08,Active,187076
1437,3394,Retirement Plan,2024-10-24,Active,118934
1438,296,High-Yield,2024-05-31,Closed,50644
1439,5700,High-Yield,2024-07-31,Inactive,16673
144,3384,Emergency,2024-06-20,Inactive,74797
1440,418,Retirement Plan,2024-11-04,Active,114202
1441,6141,Growth Fund,2024-04-29,Active,94767
1442,6460,Retirement Plan,2025-03-07,Active,132907
1443,6949,High-Yield,2024-06-05,Closed,84118
1444,2349,Retirement Plan,2024-11-14,Active,100527
1445,4547,Retirement Plan,2025-03-28,Inactive,54943
1446,148,Growth Fund,2025-03-25,Closed,92094
1447,4379,Education Fund,2025-01-16,Closed,109064
1448,5046,High-Yield,2024-07-20,Active,187126
1449,4704,Education Fund,2024-06-22,Closed,69573
145,6211,Emergency,2024-08-03,Closed,130394
1450,1473,Growth Fund,2024-11-30,Closed,90700
1451,2317,High-Yield,2024-07-31,Closed,152504
1452,6659,High-Yield,2024-07-11,Active,72423
1453,2306,Education Fund,2024-11-28,Active,81345
1454,5231,Emergency,2024-12-12,Closed,96066
1455,1207,Education Fund,2025-02-15,Closed,4730
1456,2695,Retirement Plan,2025-02-01,Inactive,136204
1457,451,Emergency,2024-04-25,Inactive,65381
1458,3429,Education Fund,2024-12-05,Inactive,28144
1459,5078,Retirement Plan,2024-11-22,Inactive,94908
146,6898,Retirement Plan,2024-09-09,Closed,104842
1460,6005,Education Fund,2025-02-02,Active,25247
1461,1276,Retirement Plan,2024-10-25,Inactive,31189
1462,4714,Growth Fund,2024-06-14,Closed,147902
1463,4360,High-Yield,2025-01-24,Closed,33159
1464,2786,Growth Fund,2024-12-18,Closed,44484
1465,599,Emergency,2024-06-24,Closed,106314
1466,6044,Retirement Plan,2024-08-11,Active,190832
1467,6505,High-Yield,2024-12-22,Inactive,167222
1468,3452,Education Fund,2025-01-23,Inactive,27047
1469,4193,Growth Fund,2024-10-05,Closed,43705
147,4046,Education Fund,2024-12-29,Inactive,169018
1470,2422,Education Fund,2024-10-05,Inactive,48620
1471,1721,Emergency,2024-07-17,Closed,118944
1472,4653,High-Yield,2024-12-11,Closed,21588
1473,3241,Education Fund,2024-04-23,Closed,12414
1474,2248,Education Fund,2025-03-23,Closed,52039
1475,6437,Emergency,2024-06-27,Closed,100635
1476,6824,Education Fund,2025-01-11,Inactive,81626
1477,4734,Emergency,2025-03-30,Active,176591
1478,4027,Emergency,2024-04-13,Closed,133195
1479,6017,Growth Fund,2024-06-12,Active,103316
148,12,Education Fund,2024-09-17,Inactive,177223
